Question;Answer
Что такое градиентный бустинг? Где там появляется градиент?;"Градиентный бустинг — это ансамблевый метод, где модели (обычно деревья) строятся последовательно, каждая исправляет ошибки предыдущей. Градиент появляется в виде псевдо-остатков (антиградиент функции потерь), которые предсказывает каждое новое дерево.
Этапы:
1)Инициализация: Базовое предсказание (среднее значение)
2)Последовательное построение:
Вычисление градиента (псевдо-остатков) для каждого объекта
Обучение нового дерева на этих остатках
Добавление дерева к ансамблю с коэффициентом обучения
3)Итог: Сумма предсказаний всех деревьев
Ключевые реализации: XGBoost, LightGBM, CatBoost"
Рассказать про RandomForest.;"Random Forest (Случайный лес) — ансамблевый алгоритм, строящий множество деревьев решений на основе бутстрап-выборок и случайного выбора признаков.
Этапы построения:
1)Bootstrap-семплирование: Для каждого дерева создается случайная подвыборка данных с возвращением
2)Случайный выбор признаков: В каждом узле рассматривается случайное подмножество признаков для поиска лучшего разбиения
3)Параллельное построение деревьев: Каждое дерево строится независимо без обрезки
4)Агрегация результатов:
Классификация: голосование большинства
Регрессия: усреднение предсказаний
Ключевые особенности:
Уменьшение переобучения за счет двойной случайности
Out-of-bag оценка качества на неиспользованных в bootstrap данных
Важность признаков на основе уменьшения примеси
Реализации: Scikit-learn, Spark MLlib, H2O"
Можно ли строить RandomForest над KNN, линейными моделями и нейросетями, почему?;" Нет, классический RandomForest нельзя строить над KNN, линейными моделями и нейросетями.
Причины:
Архитектурные ограничения:
RandomForest специфически разработан для деревьев решений
Алгоритм использует внутреннюю структуру деревьев (разбиения по признакам)
Несовместимость методов:
Случайный выбор признаков в узлах применим только к деревьям
Bootstrap-агрегирование эффективно работает именно с деревьями
Альтернативы:
Для ансамблей разнородных моделей используйте стекинг или блендинг
Можно создать ансамбль из разных типов моделей через голосование
Итог: RandomForest — специализированный алгоритм для деревьев, не поддерживающий другие типы моделей в своем ансамбле."
Как аналитически решается задача линейной регрессии?;"Задача линейной регрессии аналитически решается методом наименьших квадратов (МНК) через нормальное уравнение.
Этапы решения:
1)Постановка задачи: Найти веса w, минимизирующие функцию потерь MSE = (1/n)∑(yᵢ - ŷᵢ)²
2)Матричная форма: Записать модель как y = Xw + ε
3)Нормальное уравнение: Решение имеет вид w = (XᵀX)⁻¹Xᵀy
Условия применения:
Матрица XᵀX должна быть обратима
При мультиколлинеарности используют регуляризацию
Особенности:
Плюсы: Точное решение за один шаг
Минусы: Вычислительная сложность O(n³) для больших данных
Альтернативы: Для больших данных используют градиентный спуск
Реализации: Scikit-learn LinearRegression, statsmodels, numpy.linalg.lstsq"
Как происходит процесс построения дерева решений?;"Дерево решений строится рекурсивно через последовательное разделение данных по признакам.
Этапы построения:
Выбор лучшего признака: Для каждого узла вычисляется информативность всех признаков (через энтропию, Gini impurity или дисперсию)
Разделение данных: Данные разбиваются на подмножества по выбранному признаку и пороговому значению
Рекурсивное повторение: Процесс повторяется для каждого дочернего узла
Критерии остановки:
Достигнута максимальная глубина
Слишком мало объектов в узле
Все объекты принадлежат одному классу
Нет значимого улучшения качества
Методы оценки разделений:
Классификация: Энтропия, индекс Джини
Регрессия: Дисперсия, MSE
Важные особенности:
Легко интерпретировать
Склонность к переобучению
Жадно выбирает локально оптимальные разбиения"
Что такое переобучение? Какие есть способы борьбы с ним?;"Переобучение — ситуация, когда модель слишком сложна и подстраивается под шум в данных, показывая хорошее качество на обучающей выборке, но плохое на новых данных.
Основные способы борьбы:
Регуляризация: Добавление штрафа за сложность модели (L1-Lasso, L2-Ridge)
Валидация: Использование отдельной тестовой выборки и кросс-валидации
Упрощение модели: Уменьшение глубины деревьев, числа нейронов/слоев
Ансамблирование: Bagging (Random Forest) и Boosting
Ранняя остановка: Прекращение обучения до переобучения
Увеличение данных: Data augmentation и сбор большего количества данных
Feature selection: Отбор наиболее значимых признаков
Dropout: Для нейронных сетей — случайное отключение нейронов
Причины переобучения: Слишком сложная модель, недостаточно данных, шум в данных."
Какие существуют методы регуляризации? Плюсы и минусы каждого, области применения каждого.;"Основные методы регуляризации:
1) L1-регуляризация (Lasso)
Плюсы: Обнуляет веса неважных признаков, автоматический отбор фич
Минусы: Неустойчив к мультиколлинеарности, может исключить коррелированные признаки
Применение: Отбор признаков, когда важен интерпретируемый модель
2) L2-регуляризация (Ridge)
Плюсы: Устойчив к мультиколлинеарности, равномерно уменьшает все веса
Минусы: Не обнуляет веса, все признаки остаются в модели
Применение: Основной выбор для линейных моделей, работа с коррелированными признаками
3) Elastic Net (L1 + L2)
Плюсы: Комбинирует преимущества L1 и L2
Минусы: Два гиперпараметра для настройки
Применение: Высокомерные данные с коррелированными признаками
4) Dropout (для нейросетей)
Плюсы: Эффективно предотвращает переобучение
Минусы: Увеличивает время обучения
Применение: Глубокие нейронные сети
5) Early Stopping
Плюсы: Простота реализации, не требует изменения функции потерь
Минусы: Требует отдельной валидационной выборки
Применение: Итеративные алгоритмы (градиентный бустинг, нейросети)"
Почему L1 регуляризация зануляет часть весов?;"L1-регуляризация зануляет веса из-за геометрических особенностей L1-нормы и условий оптимизации.
Математическое объяснение:
Геометрическая интерпретация:
L1-норма имеет ""острые углы"" в пространстве параметров
Оптимальное решение часто находится в вершинах, где некоторые координаты равны нулю
Условия Каруша-Куна-Таккера:
Минимум достигается когда: ∇L(w) + λ⋅sign(w) = 0
Для каждого веса: ∂L/∂wᵢ + λ⋅sign(wᵢ) = 0
Если градиент функции потерь |∂L/∂wᵢ| < λ, вес обнуляется
Сравнение с L2:
L2-регуляризация: ∂L/∂wᵢ + 2λwᵢ = 0 → wᵢ = -∂L/∂wᵢ/(2λ)
L2 только уменьшает веса, но не обнуляет их полностью
Практическое значение:
Автоматический отбор признаков
Создание разреженных моделей
Улучшение интерпретируемости
Области применения: Отбор признаков в высокомерных данных, создание компактных моделей."
Что такое bias, variance модели?;"Bias (смещение) и variance (разброс) — две составляющие ошибки модели, описывающие компромисс между простотой и сложностью модели.
Определения:
Bias (Смещение):
Систематическая ошибка, вызванная слишком простыми предположениями модели
Высокое смещение = модель недообучается (не может описать сложные зависимости)
Variance (Разброс):
Ошибка, вызванная чувствительностью модели к небольшим изменениям в данных
Высокий разброс = модель переобучается (подстраивается под шум)
Компромисс (bias-variance tradeoff):
Упрощение модели → ↑bias, ↓variance
Усложнение модели → ↓bias, ↑variance
Примеры:
Высокий bias: Линейная регрессия на нелинейных данных
Высокий variance: Глубокие деревья решений без ограничений
Методы управления:
Регуляризация (уменьшает variance)
Увеличение данных (уменьшает variance)
Усложнение модели (уменьшает bias)"
Что такое bias-variance trade-off?;"Bias-variance trade-off (компромисс смещение-разброс) — фундаментальная проблема машинного обучения, где невозможно одновременно минимизировать смещение и разброс модели.
Компоненты ошибки:
Смещение (Bias): Ошибка из-за слишком простых предположений модели
Разброс (Variance): Ошибка из-за чувствительности к шуму в данных
Неустранимая ошибка: Шум в данных
Декомпозиция ошибки:Total Error = Bias² + Variance + Irreducible Error
Зависимость сложности модели:
Простые модели: Высокий bias, низкий variance (недообучение)
Сложные модели: Низкий bias, высокий variance (переобучение)
Оптимум: Баланс между bias и variance
Примеры:
Высокий bias: Линейная модель на нелинейных данных
Высокий variance: Глубокое дерево решений без регуляризации
Методы балансировки:
Регуляризация (контроль variance)
Увеличение данных (уменьшение variance)
Подбор сложности модели (глубина деревьев, слои нейросети)
Ансамблирование (усреднение variance)"
